"resource","time","server","queue","capacity","queue_size","system","limit","replication"
"doctor",4.21728630529201,1,0,3,Inf,1,Inf,1
"doctor",7.10033765973008,2,0,3,Inf,2,Inf,1
"doctor",7.25822445527164,3,0,3,Inf,3,Inf,1
"doctor",12.2950968191478,3,1,3,Inf,4,Inf,1
"doctor",16.2110549600077,3,0,3,Inf,3,Inf,1
"doctor",22.5340267880815,2,0,3,Inf,2,Inf,1
"doctor",25.9262791407963,3,0,3,Inf,3,Inf,1
"doctor",27.1612430888086,2,0,3,Inf,2,Inf,1
"doctor",36.5623299873497,1,0,3,Inf,1,Inf,1
"doctor",37.0487522714102,0,0,3,Inf,0,Inf,1
"doctor",41.5187481169306,1,0,3,Inf,1,Inf,1
"doctor",43.7385755773953,2,0,3,Inf,2,Inf,1
"doctor",45.8238802590727,3,0,3,Inf,3,Inf,1
"doctor",50.0728109077632,3,1,3,Inf,4,Inf,1
"doctor",52.4666129894459,3,2,3,Inf,5,Inf,1
"doctor",54.829391564686,3,1,3,Inf,4,Inf,1
"doctor",57.2520637161267,3,0,3,Inf,3,Inf,1
"doctor",67.1311060896525,2,0,3,Inf,2,Inf,1
"doctor",67.5784733651272,1,0,3,Inf,1,Inf,1
"doctor",72.6716715463084,2,0,3,Inf,2,Inf,1
"doctor",73.0149558830757,1,0,3,Inf,1,Inf,1
"doctor",80.0980505163988,2,0,3,Inf,2,Inf,1
"doctor",84.7167739444722,1,0,3,Inf,1,Inf,1
"doctor",88.1273122316889,2,0,3,Inf,2,Inf,1
"doctor",88.9882959778409,1,0,3,Inf,1,Inf,1
"doctor",92.5148390633653,2,0,3,Inf,2,Inf,1
"doctor",95.3310980699513,1,0,3,Inf,1,Inf,1
"doctor",95.5040875197987,2,0,3,Inf,2,Inf,1
"doctor",101.160077163472,1,0,3,Inf,1,Inf,1
"doctor",104.232656437903,0,0,3,Inf,0,Inf,1
"doctor",105.696814910055,1,0,3,Inf,1,Inf,1
"doctor",106.994603996706,2,0,3,Inf,2,Inf,1
"doctor",110.948012790973,3,0,3,Inf,3,Inf,1
"doctor",113.911443288155,2,0,3,Inf,2,Inf,1
"doctor",114.048656321461,3,0,3,Inf,3,Inf,1
"doctor",119.695106490707,3,1,3,Inf,4,Inf,1
"doctor",123.923716316695,3,2,3,Inf,5,Inf,1
"doctor",124.777611004379,3,1,3,Inf,4,Inf,1
"doctor",125.051426349437,3,2,3,Inf,5,Inf,1
"doctor",128.67887961106,3,1,3,Inf,4,Inf,1
"doctor",129.82987491245,3,0,3,Inf,3,Inf,1
"doctor",133.430351594058,3,1,3,Inf,4,Inf,1
"doctor",133.883308344656,3,2,3,Inf,5,Inf,1
"doctor",135.414327595053,3,3,3,Inf,6,Inf,1
"doctor",136.156781186929,3,2,3,Inf,5,Inf,1
"doctor",137.027202227404,3,1,3,Inf,4,Inf,1
"doctor",140.75039294308,3,2,3,Inf,5,Inf,1
"doctor",146.559602079162,3,1,3,Inf,4,Inf,1
"doctor",151.129358771618,3,0,3,Inf,3,Inf,1
"doctor",153.635199588484,3,1,3,Inf,4,Inf,1
"doctor",157.603419812882,3,0,3,Inf,3,Inf,1
"doctor",158.7745476667,3,1,3,Inf,4,Inf,1
"doctor",159.185753645744,3,0,3,Inf,3,Inf,1
"doctor",165.334597730898,2,0,3,Inf,2,Inf,1
"doctor",165.45407910011,3,0,3,Inf,3,Inf,1
"doctor",168.191005359436,2,0,3,Inf,2,Inf,1
"doctor",169.944393002397,3,0,3,Inf,3,Inf,1
"doctor",172.150355736694,3,1,3,Inf,4,Inf,1
"doctor",173.014190125494,3,0,3,Inf,3,Inf,1
"doctor",173.552281543197,3,1,3,Inf,4,Inf,1
"doctor",178.172417663343,3,2,3,Inf,5,Inf,1
"doctor",178.591615233944,3,1,3,Inf,4,Inf,1
"doctor",178.883408655362,3,0,3,Inf,3,Inf,1
"doctor",186.384440296954,3,1,3,Inf,4,Inf,1
"doctor",187.577005130863,3,2,3,Inf,5,Inf,1
"doctor",187.693194765658,3,1,3,Inf,4,Inf,1
"doctor",187.817035269004,3,0,3,Inf,3,Inf,1
"doctor",187.861566528286,2,0,3,Inf,2,Inf,1
"doctor",189.909442248675,3,0,3,Inf,3,Inf,1
"doctor",190.989719761386,3,1,3,Inf,4,Inf,1
"doctor",194.417012950256,3,2,3,Inf,5,Inf,1
"doctor",195.702963403866,3,1,3,Inf,4,Inf,1
"doctor",200.936614918051,3,0,3,Inf,3,Inf,1
"doctor",201.614276080979,3,1,3,Inf,4,Inf,1
"doctor",205.769779249035,3,0,3,Inf,3,Inf,1
"doctor",205.920917124497,2,0,3,Inf,2,Inf,1
"doctor",207.838192580645,3,0,3,Inf,3,Inf,1
"doctor",214.103817188348,3,1,3,Inf,4,Inf,1
"doctor",215.995968071937,3,0,3,Inf,3,Inf,1
"doctor",218.325051178218,3,1,3,Inf,4,Inf,1
"doctor",219.550342245272,3,0,3,Inf,3,Inf,1
"doctor",221.689859427894,2,0,3,Inf,2,Inf,1
"doctor",224.285066213242,3,0,3,Inf,3,Inf,1
"doctor",226.688409817188,3,1,3,Inf,4,Inf,1
"doctor",227.397746262519,3,0,3,Inf,3,Inf,1
"doctor",230.467879456972,3,1,3,Inf,4,Inf,1
"doctor",230.968653832952,3,0,3,Inf,3,Inf,1
"doctor",232.783977560824,3,1,3,Inf,4,Inf,1
"doctor",233.082334419372,3,2,3,Inf,5,Inf,1
"doctor",234.219268667716,3,1,3,Inf,4,Inf,1
"doctor",235.098526626637,3,2,3,Inf,5,Inf,1
"doctor",238.86461865117,3,3,3,Inf,6,Inf,1
"doctor",239.808050591566,3,4,3,Inf,7,Inf,1
"doctor",241.998498417212,3,3,3,Inf,6,Inf,1
"doctor",244.192319947211,3,4,3,Inf,7,Inf,1
"doctor",245.174601617805,3,3,3,Inf,6,Inf,1
"doctor",245.409302425012,3,2,3,Inf,5,Inf,1
"doctor",248.141388280024,3,3,3,Inf,6,Inf,1
"doctor",253.017098507715,3,4,3,Inf,7,Inf,1
"doctor",256.227631434426,3,3,3,Inf,6,Inf,1
"doctor",259.876176467651,3,2,3,Inf,5,Inf,1
"doctor",261.042434987063,3,3,3,Inf,6,Inf,1
"doctor",261.192732259548,3,4,3,Inf,7,Inf,1
"doctor",262.928376562879,3,3,3,Inf,6,Inf,1
"doctor",267.709935006392,3,4,3,Inf,7,Inf,1
"doctor",270.090816105934,3,3,3,Inf,6,Inf,1
"doctor",271.940456523056,3,4,3,Inf,7,Inf,1
"doctor",276.155674414377,3,5,3,Inf,8,Inf,1
"doctor",277.899438295182,3,6,3,Inf,9,Inf,1
"doctor",279.408209016305,3,5,3,Inf,8,Inf,1
"doctor",282.549886318446,3,4,3,Inf,7,Inf,1
"doctor",284.104174887093,3,3,3,Inf,6,Inf,1
"doctor",294.388562294414,3,4,3,Inf,7,Inf,1
"doctor",294.543299230062,3,3,3,Inf,6,Inf,1
"doctor",295.040658386133,3,2,3,Inf,5,Inf,1
"doctor",296.767357058905,3,3,3,Inf,6,Inf,1
"doctor",298.74997300756,3,4,3,Inf,7,Inf,1
"doctor",300.234768811979,3,5,3,Inf,8,Inf,1
"doctor",300.655572484147,3,6,3,Inf,9,Inf,1
"doctor",301.922685025218,3,5,3,Inf,8,Inf,1
"doctor",305.305182004107,3,4,3,Inf,7,Inf,1
"doctor",307.790293714873,3,3,3,Inf,6,Inf,1
"doctor",311.578427720913,3,2,3,Inf,5,Inf,1
"doctor",314.389088044298,3,1,3,Inf,4,Inf,1
"doctor",315.422577070342,3,2,3,Inf,5,Inf,1
"doctor",320.909344229785,3,1,3,Inf,4,Inf,1
"doctor",321.336759240019,3,0,3,Inf,3,Inf,1
"doctor",321.867109466404,3,1,3,Inf,4,Inf,1
"doctor",325.338155099191,3,0,3,Inf,3,Inf,1
"doctor",329.725739904123,3,1,3,Inf,4,Inf,1
"doctor",337.390694175617,3,0,3,Inf,3,Inf,1
"doctor",338.379644131243,3,1,3,Inf,4,Inf,1
"doctor",338.697760807326,3,0,3,Inf,3,Inf,1
"doctor",341.436345423973,3,1,3,Inf,4,Inf,1
"doctor",341.600794366497,3,2,3,Inf,5,Inf,1
"doctor",342.365984579484,3,3,3,Inf,6,Inf,1
"doctor",345.936104402139,3,2,3,Inf,5,Inf,1
